,0
0,53061
1,17031
2,6059
3,6037
4,4013
5,6085
6,25025
7,6075
8,55025
9,6073
10,48029
11,31055
12,6023
13,6067
14,6095
15,53063
16,49035
17,6097
18,6055
19,6041
20,53033
21,41067
22,6001
23,12081
24,12057
25,53071
26,13121
27,6081
28,25021
29,33009
30,6061
31,6013
32,37183
33,36119
34,34003
35,48157
36,53007
37,12113
38,8035
39,32003
40,24031
41,32031
42,48201
43,8059
44,36059
45,25017
46,47187
47,21067
48,42127
49,6113
50,42045
51,37037
52,8031
53,34007
54,49011
55,49053
56,18097
57,8037
58,8041
59,27123
60,53053
61,53011
62,12071
63,15003
64,4021
65,45055
66,40143
67,53031
68,45019
69,12011
70,13233
71,36087
72,6087
73,53037
74,42091
75,33015
76,6065
77,13067
78,12127
79,20091
80,50003
81,12091
82,6019
83,13135
84,25003
85,11001
86,29189
87,41035
88,41029
89,36091
90,12015
91,6039
92,51059
93,47037
94,21097
95,21111
96,36103
97,53035
98,41047
99,41019
100,36111
101,47157
102,9001
103,13057
104,18063
105,34031
106,19103
107,24025
108,25027
109,45083
110,27019
111,13113
112,13115
113,4019
114,6089
115,8005
116,13089
117,18113
118,24033
119,19155
120,42089
121,34025
122,34017
123,22051
124,48085
125,34039
126,8069
127,55093
128,39035
129,51810
130,17111
131,12089
132,46023
133,12101
134,22071
135,48339
136,48439
137,46099
138,46035
139,18011
140,46005
141,12103
142,18001
143,25009
144,6077
145,12001
146,17089
147,34005
148,27003
149,51107
150,13049
151,26125
152,42101
153,53073
154,8051
155,41051
156,49057
157,6111
158,47163
159,48113
160,26163
161,53057
162,12021
163,39151
164,36055
165,45057
166,10003
167,53029
168,13015
169,13185
170,5069
171,41017
172,53067
173,27109
174,41043
175,41053
176,12109
177,18141
178,22017
179,6099
180,28035
181,56033
182,18081
183,50007
184,55133
185,18067
186,35049
187,51013
188,55039
189,12086
190,42017
191,38101
192,41059
193,35053
194,13177
195,46009
196,8097
197,48183
198,24005
199,35001
200,34023
201,17097
202,51095
203,26147
204,51085
205,27145
206,6107
207,19027
208,26161
209,37101
210,51147
211,21173
212,36025
213,34013
214,20209
215,36043
216,39155
217,37025
218,42095
219,26117
220,34027
221,53077
222,37133
223,53013
224,37067
225,32510
226,12019
227,36071
228,37119
229,2020
230,36027
231,8001
232,51510
233,12099
234,53027
235,5119
236,27037
237,29077
238,41005
239,26065
240,36001
